OOSimL model: ramp System with Conditions
Simulation date: 4/17/2016 time: 16:53
------------------------- TRACE ---------------------------------
0000.000 RushHour highwaybusy = true
0060.939 Car1 arrives 
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
0060.939 Car1 Testing condition: false
